filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood.	1004	34	0	0	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Strike navigates the challenges of his neighborhood, dealing with a suspicious white customer, the constant surveillance of the Fury, and the unpredictable behavior of his clockers and girlfriends.	1004	34	1	0	
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Strike observes a young girl named Shanelle trying to approach him, but he rejects her. He then discusses his plans for the day with his crew, including re-upping on drugs and calculating the potential sales.	2011	89	1	30	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Strike arranges a drug delivery with Rodney and contemplates the upcoming night, taking various factors into account. He also expresses his distrust towards Peanut and emphasizes the need to maintain control in his territory.	2011	89	2	30	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood.
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Strike observes a white guy buying drugs from The Word, and witnesses the police arresting the white guy and his friends.	3026	132	2	65	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Strike continues to observe the police arresting the white guy and his friends, trying to remain inconspicuous and avoid getting involved.	3026	132	3	65	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood. Strike observes a young girl named Shanelle trying to approach him, but he rejects her. He then discusses his plans for the day with his crew, including re-upping on drugs and calculating the potential sales.
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Peanut does a dance and jokes with Big Chief and Strike while they search him for drugs and weapons.	4033	184	3	86	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Peanut continues to interact with Big Chief and Strike, revealing more about his background and fears.	4033	184	4	86	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood. Strike observes a young girl named Shanelle trying to approach him, but he rejects her. He then discusses his plans for the day with his crew, including re-upping on drugs and calculating the potential sales. Strike observes a white guy buying drugs from The Word, and witnesses the police arresting the white guy and his friends.
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Thumper forces Strike to shake his hand and say a tongue twister, while Big Chief searches Futon for drugs and weapons.	5043	247	4	105	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Thumper and Big Chief leave in the car with The Word, while Strike contemplates his frustration with the people around him. Strike notices a boy staring at Crunch, and when Crunch laughs, the boy laughs too.	5043	247	5	105	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood. Strike observes a young girl named Shanelle trying to approach him, but he rejects her. He then discusses his plans for the day with his crew, including re-upping on drugs and calculating the potential sales. Strike observes a white guy buying drugs from The Word, and witnesses the police arresting the white guy and his friends. Peanut does a dance and jokes with Big Chief and Strike while they search him for drugs and weapons.
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Strike is approached by a baby-fat girl who asks him a question, then Rodney pulls up in a rust-colored Caddy and Strike talks to him about the arrest of The Word and his own health.	6067	300	5	126	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Rodney asks Strike to come by the store later, Strike hesitates but agrees, and Strike observes Horace and Peanut arguing over a Childcraft catalogue.	6067	300	6	126	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood. Strike observes a young girl named Shanelle trying to approach him, but he rejects her. He then discusses his plans for the day with his crew, including re-upping on drugs and calculating the potential sales. Strike observes a white guy buying drugs from The Word, and witnesses the police arresting the white guy and his friends. Peanut does a dance and jokes with Big Chief and Strike while they search him for drugs and weapons. Thumper forces Strike to shake his hand and say a tongue twister, while Big Chief searches Futon for drugs and weapons.
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Strike observes Popeye, a hobbled-up pipehead, shuffling near the bench and mumbling to himself. Strike plans his next moves, considering the police schedule and his desire to avoid trouble. He takes a catalog from Futon and walks out of the projects, noticing a boy named Tyrone with a shaved Mercedes symbol in his hair.	7071	337	6	161	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Strike gives Tyrone a street name and contemplates his next move, while walking to his car and reflecting on his fondness for old people and his financial success.	7071	337	7	161	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood. Strike observes a young girl named Shanelle trying to approach him, but he rejects her. He then discusses his plans for the day with his crew, including re-upping on drugs and calculating the potential sales. Strike observes a white guy buying drugs from The Word, and witnesses the police arresting the white guy and his friends. Peanut does a dance and jokes with Big Chief and Strike while they search him for drugs and weapons. Thumper forces Strike to shake his hand and say a tongue twister, while Big Chief searches Futon for drugs and weapons. Strike is approached by a baby-fat girl who asks him a question, then Rodney pulls up in a rust-colored Caddy and Strike talks to him about the arrest of The Word and his own health.
00025340.txt	Clockers	Richard Price	Turbo-0	summary	Strike reflects on his apartment, his fear of using a gun, and his interactions with the people in his neighborhood.	8083	379	7	215	
00025340.txt	Clockers	Richard Price	Turbo-0	prediction	Strike navigates the challenges of his life as a drug dealer, trying to maintain control and avoid trouble. He encounters more dangerous situations and faces difficult decisions that test his resolve.	8083	379	8	215	Strike observes a young girl named Shanelle or Shanette trying to work up the nerve to approach him, while reflecting on his troubled day and the dynamics of his neighborhood. Strike observes a young girl named Shanelle trying to approach him, but he rejects her. He then discusses his plans for the day with his crew, including re-upping on drugs and calculating the potential sales. Strike observes a white guy buying drugs from The Word, and witnesses the police arresting the white guy and his friends. Peanut does a dance and jokes with Big Chief and Strike while they search him for drugs and weapons. Thumper forces Strike to shake his hand and say a tongue twister, while Big Chief searches Futon for drugs and weapons. Strike is approached by a baby-fat girl who asks him a question, then Rodney pulls up in a rust-colored Caddy and Strike talks to him about the arrest of The Word and his own health. Strike observes Popeye, a hobbled-up pipehead, shuffling near the bench and mumbling to himself. Strike plans his next moves, considering the police schedule and his desire to avoid trouble. He takes a catalog from Futon and walks out of the projects, noticing a boy named Tyrone with a shaved Mercedes symbol in his hair.
00025340.txt	Clockers	Richard Price	Turbo-0	summary	The passage describes Strike's relationship with Rodney, the owner of Rodney's Place, a store where Strike used to work. It also highlights Rodney's admiration for Strike and their close bond.	9095	419	8	235	
