filename	title	author	mode	text	wordindex	sentindex	passindex	chunkindex	recaplen	recaptext	passage_length	divide_type
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	The passage describes the worldwide alarm and fascination caused by the sightings of an enormous and mysterious sea creature, which exceeds the size of any known whale and elicits debates and debates among scholars and skeptics.	957	28	0	0	0		957	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	prediction	The sightings of the mysterious creature continue to escalate, causing worldwide excitement and debate among scholars and skeptics, until a decisive event occurs that brings the war of words to a climax.	957	28	0	1	0		957	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	The popular press continues to mock and debate the existence of the mysterious sea creature, until two maritime accidents provide evidence of its presence and cause widespread alarm.	1793	63	0	1	36		836	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	prediction	After the collision, the crew of the Scotia quickly assesses the damage and begins immediate repairs to prevent the ship from sinking, while the passengers are shaken and anxiously await further instructions and updates on the situation.	1793	63	0	2	36	The passage describes the worldwide alarm and fascination caused by the sightings of an enormous and mysterious sea creature, which exceeds the size of any known whale and elicits debates and debates among scholars and skeptics.	836	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	The narrator recounts the sinking of the Scotia, a steamship, due to a large hole in its underside, leading to renewed speculation and fear about the existence of a mysterious sea creature responsible for maritime accidents.	2736	105	0	2	64		943	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	prediction	After the inspection of the Scotia reveals the symmetrical gash in its underside, public outrage grows and demands for the seas to be purged of the mysterious sea creature intensify, leading to a renewed effort to hunt down and capture the creature.	2736	105	0	3	64	The passage describes the worldwide alarm and fascination caused by the sightings of an enormous and mysterious sea creature, which exceeds the size of any known whale and elicits debates and debates among scholars and skeptics. The popular press continues to mock and debate the existence of the mysterious sea creature, until two maritime accidents provide evidence of its presence and cause widespread alarm.	943	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	The narrator, Professor Aronnax, discusses the possibility of a giant narwhale being responsible for the maritime accidents caused by the mysterious sea creature, presenting arguments for its existence based on its size, strength, and weaponry.	3602	140	0	3	100		866	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	prediction	The narrator's hypothesis about the existence of a giant narwhal gains traction and sparks further investigations into the mysterious sea creature, leading to a potentially dangerous encounter in the near future.	3602	140	0	4	100	The passage describes the worldwide alarm and fascination caused by the sightings of an enormous and mysterious sea creature, which exceeds the size of any known whale and elicits debates and debates among scholars and skeptics. The popular press continues to mock and debate the existence of the mysterious sea creature, until two maritime accidents provide evidence of its presence and cause widespread alarm. The narrator recounts the sinking of the Scotia, a steamship, due to a large hole in its underside, leading to renewed speculation and fear about the existence of a mysterious sea creature responsible for maritime accidents.	866	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	The narrator, Professor Aronnax, receives a letter inviting him to join an expedition to hunt down the mysterious sea creature, and despite his exhaustion and desire to return home, he accepts the offer and sets off on a journey to the northern Pacific Ocean.	4473	189	0	4	135		871	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	prediction	Professor Aronnax, now determined to hunt down the mysterious sea creature, joins Commander Farragut on the Abraham Lincoln and sets sail for the northern Pacific Ocean in search of the narwhale.	4473	189	0	5	135	The passage describes the worldwide alarm and fascination caused by the sightings of an enormous and mysterious sea creature, which exceeds the size of any known whale and elicits debates and debates among scholars and skeptics. The popular press continues to mock and debate the existence of the mysterious sea creature, until two maritime accidents provide evidence of its presence and cause widespread alarm. The narrator recounts the sinking of the Scotia, a steamship, due to a large hole in its underside, leading to renewed speculation and fear about the existence of a mysterious sea creature responsible for maritime accidents. The narrator, Professor Aronnax, discusses the possibility of a giant narwhale being responsible for the maritime accidents caused by the mysterious sea creature, presenting arguments for its existence based on its size, strength, and weaponry.	871	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	The narrator, Professor Aronnax, prepares to embark on an expedition to hunt down a mysterious sea creature, while reflecting on his devoted manservant Conseil and making arrangements for their departure.	5350	238	0	5	179		877	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	prediction	Professor Aronnax and Conseil board the Abraham Lincoln, joining Commander Farragut on a dangerous mission to hunt down the mysterious sea creature, the narwhale.	5350	238	0	6	179	The passage describes the worldwide alarm and fascination caused by the sightings of an enormous and mysterious sea creature, which exceeds the size of any known whale and elicits debates and debates among scholars and skeptics. The popular press continues to mock and debate the existence of the mysterious sea creature, until two maritime accidents provide evidence of its presence and cause widespread alarm. The narrator recounts the sinking of the Scotia, a steamship, due to a large hole in its underside, leading to renewed speculation and fear about the existence of a mysterious sea creature responsible for maritime accidents. The narrator, Professor Aronnax, discusses the possibility of a giant narwhale being responsible for the maritime accidents caused by the mysterious sea creature, presenting arguments for its existence based on its size, strength, and weaponry. The narrator, Professor Aronnax, receives a letter inviting him to join an expedition to hunt down the mysterious sea creature, and despite his exhaustion and desire to return home, he accepts the offer and sets off on a journey to the northern Pacific Ocean.	877	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	Professor Aronnax boards the Abraham Lincoln, an advanced frigate, and sets off on an expedition to hunt down the mysterious sea creature, with Commander Farragut leading the mission with unwavering belief in the creature's existence.	6368	285	0	6	209		1018	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	prediction	Commander Farragut and his crew continue their journey on the Abraham Lincoln, eagerly searching for the mysterious sea creature, while engaging in discussions and preparations for a potential encounter.	6368	285	0	7	209	The passage describes the worldwide alarm and fascination caused by the sightings of an enormous and mysterious sea creature, which exceeds the size of any known whale and elicits debates and debates among scholars and skeptics. The popular press continues to mock and debate the existence of the mysterious sea creature, until two maritime accidents provide evidence of its presence and cause widespread alarm. The narrator recounts the sinking of the Scotia, a steamship, due to a large hole in its underside, leading to renewed speculation and fear about the existence of a mysterious sea creature responsible for maritime accidents. The narrator, Professor Aronnax, discusses the possibility of a giant narwhale being responsible for the maritime accidents caused by the mysterious sea creature, presenting arguments for its existence based on its size, strength, and weaponry. The narrator, Professor Aronnax, receives a letter inviting him to join an expedition to hunt down the mysterious sea creature, and despite his exhaustion and desire to return home, he accepts the offer and sets off on a journey to the northern Pacific Ocean. The narrator, Professor Aronnax, prepares to embark on an expedition to hunt down a mysterious sea creature, while reflecting on his devoted manservant Conseil and making arrangements for their departure.	1018	sentence
chapterbooks/LeagesUnderGB.txt	Twenty Thousand Leagues	Jules Verne	summary	The narrator and Ned Land discuss their expedition to hunt down the mysterious sea creature, with Ned expressing doubt about its existence despite the preparations made on the Abraham Lincoln.	7184	328	0	7	244		816	sentence
