filename	title	author	mode	text	wordindex	position	sentindex	passindex	chunkindex	recaplen	recaptext	passage_length	divide_type
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	summary	As the sun sets and illuminates the grandeur of Maister Floyd's red-brick mansion, the passage introduces Archibald Martin Floyd, a retired banker, and his sudden marriage to a beautiful but penniless actress named Eliza, which surprises the county families and the Kentish rustics.	876	0.0	22	0	0	0		876	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	prediction	Archibald Martin Floyd's relatives and the county families adjust to the sudden arrival of his new wife, Eliza, and attempt to uncover her true intentions for marrying a wealthy banker.	876	0.0	22	0	1	0		876	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	summary	The passage describes the physical beauty and mysterious background of Archibald Floyd's wife, Eliza, and the resentment and gossip she faces from the county families due to her lower social status.	1851	0.00479	43	0	1	43		975	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	prediction	Despite the judgment and rumors surrounding her, Eliza Floyd continues to assert her confidence and independence, refusing to bow to the expectations and prejudices of the county families and instead embracing her new position with pride and dignity.	1851	0.00479	43	0	2	43	As the sun sets and illuminates the grandeur of Maister Floyd's red-brick mansion, the passage introduces Archibald Martin Floyd, a retired banker, and his sudden marriage to a beautiful but penniless actress named Eliza, which surprises the county families and the Kentish rustics.	975	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	summary	Eliza, Archibald Floyd's wife, remains unfazed by the gossip and judgment of the county families, enjoying her simple life and taking delight in the scandal surrounding her, while Archibald is deeply hurt by the rumors and fiercely defends her honor, revealing that Eliza was a former actress whom he fell in love with during a performance of 'Romeo and Juliet.'	2658	0.01011	70	0	2	74		807	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	prediction	Despite the gossip and resentment from the county families, Eliza continues to defy societal expectations, enjoying her simple pleasures and relishing the scandalous rumors that surround her, while Archibald Floyd, deeply wounded by the malicious gossip about his beloved wife, becomes even more protective of her and vows to shield her from further harm.	2658	0.01011	70	0	3	74	As the sun sets and illuminates the grandeur of Maister Floyd's red-brick mansion, the passage introduces Archibald Martin Floyd, a retired banker, and his sudden marriage to a beautiful but penniless actress named Eliza, which surprises the county families and the Kentish rustics. The passage describes the physical beauty and mysterious background of Archibald Floyd's wife, Eliza, and the resentment and gossip she faces from the county families due to her lower social status.	807	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	summary	Archibald Floyd falls in love with Eliza Percival, a mediocre actress, despite her poor acting skills, and decides to propose to her after hearing stories of her kindness and independence.	3574	0.01452	97	0	3	134		916	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	prediction	Archibald Floyd and Eliza continue to grow closer, as he becomes more enamored with her despite her lackluster acting career and the gossip surrounding her, leading to further discussions about their future together and the potential obstacles they may face.	3574	0.01452	97	0	4	134	As the sun sets and illuminates the grandeur of Maister Floyd's red-brick mansion, the passage introduces Archibald Martin Floyd, a retired banker, and his sudden marriage to a beautiful but penniless actress named Eliza, which surprises the county families and the Kentish rustics. The passage describes the physical beauty and mysterious background of Archibald Floyd's wife, Eliza, and the resentment and gossip she faces from the county families due to her lower social status. Eliza, Archibald Floyd's wife, remains unfazed by the gossip and judgment of the county families, enjoying her simple life and taking delight in the scandal surrounding her, while Archibald is deeply hurt by the rumors and fiercely defends her honor, revealing that Eliza was a former actress whom he fell in love with during a performance of 'Romeo and Juliet.'	916	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	summary	The passage tells the backstory of Eliza Floyd, a former actress who married a wealthy banker, and describes her rise in the theater world, her marriage to Archibald Floyd, and her indifference to the judgment of the county families.	4470	0.01953	119	0	4	164		896	sentence
chapterbooks/AuroraFloydGB.txt	Aurora Floyd	Mary Elizabeth Braddon	prediction	Eliza Floyd's past as an actress comes back to haunt her when a former colleague threatens to expose her true identity, causing tension in her marriage with Archibald Floyd.	4470	0.01953	119	0	5	164	As the sun sets and illuminates the grandeur of Maister Floyd's red-brick mansion, the passage introduces Archibald Martin Floyd, a retired banker, and his sudden marriage to a beautiful but penniless actress named Eliza, which surprises the county families and the Kentish rustics. The passage describes the physical beauty and mysterious background of Archibald Floyd's wife, Eliza, and the resentment and gossip she faces from the county families due to her lower social status. Eliza, Archibald Floyd's wife, remains unfazed by the gossip and judgment of the county families, enjoying her simple life and taking delight in the scandal surrounding her, while Archibald is deeply hurt by the rumors and fiercely defends her honor, revealing that Eliza was a former actress whom he fell in love with during a performance of 'Romeo and Juliet.' Archibald Floyd falls in love with Eliza Percival, a mediocre actress, despite her poor acting skills, and decides to propose to her after hearing stories of her kindness and independence.	896	sentence
