filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	summary	The narrator arrives at the Morris Pipe and Supply Company and meets Mr. Morris' daughter, who is working in the office.	1007	78	0	0	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	prediction	"The narrator and Mr. Morris' daughter engage in conversation, with the narrator explaining the meaning of the nickname ""Hiatus"" and discussing boiler flues. The narrator expresses interest in the daughter's story and asks for more information about her background."	1007	78	1	0	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	summary	The narrator explains to Norma, Mr. Morris' daughter, about his job in the oil exploration company and the difference between pipe and shot hole casing.	2014	155	1	21	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	prediction	Norma continues to engage in conversation with the narrator, asking more questions about his job and showing interest in learning about the oil exploration process.	2014	155	2	21	The narrator arrives at the Morris Pipe and Supply Company and meets Mr. Morris' daughter, who is working in the office.
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	summary	The narrator agrees to stay and help Norma run the shop until supper time, and they engage in playful banter while he helps her move a desk.	3024	218	2	46	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	prediction	The narrator and Norma continue to spend time together, going on more dates and getting to know each other better.	3024	218	3	46	The narrator arrives at the Morris Pipe and Supply Company and meets Mr. Morris' daughter, who is working in the office. The narrator explains to Norma, Mr. Morris' daughter, about his job in the oil exploration company and the difference between pipe and shot hole casing.
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	summary	The narrator and Driller discuss their relationship and the narrator's failed attempt to secure shot hole casing. They go to bed and the next morning, the crew finishes drilling and the narrator plans to go back to town to get the casing.	4042	288	3	73	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	prediction	The narrator goes back to town to get the shot hole casing and returns to the crew to continue drilling. However, Mr. Botts confronts them and demands that they leave his land.	4042	288	4	73	The narrator arrives at the Morris Pipe and Supply Company and meets Mr. Morris' daughter, who is working in the office. The narrator explains to Norma, Mr. Morris' daughter, about his job in the oil exploration company and the difference between pipe and shot hole casing. The narrator agrees to stay and help Norma run the shop until supper time, and they engage in playful banter while he helps her move a desk.
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	summary	Botts confronts the narrator and Driller, accusing them of trying to swindle him out of the full value of his land, but the narrator and Driller defend their actions and remind Botts of their contract.	5054	361	4	115	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0	prediction	Botts confronts the narrator and Driller, accusing them of trying to swindle him out of the full value of his land, but the narrator and Driller defend their actions and remind Botts of their contract. Botts, still skeptical, threatens to see the narrator and Driller off the land, causing tension and uncertainty.	5054	361	5	115	The narrator arrives at the Morris Pipe and Supply Company and meets Mr. Morris' daughter, who is working in the office. The narrator explains to Norma, Mr. Morris' daughter, about his job in the oil exploration company and the difference between pipe and shot hole casing. The narrator agrees to stay and help Norma run the shop until supper time, and they engage in playful banter while he helps her move a desk. The narrator and Driller discuss their relationship and the narrator's failed attempt to secure shot hole casing. They go to bed and the next morning, the crew finishes drilling and the narrator plans to go back to town to get the casing.
