filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	summary	A young boy named Stephen Dedalus recalls his childhood experiences, including interactions with his family and classmates at school.	1007	70	0	0	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	prediction	Stephen Dedalus continues to navigate school life, facing challenges and finding solace in the study hall. He reflects on the history and stories associated with the castle, sparking his curiosity about the past and his place in it.	1007	70	1	0	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	summary	Stephen Dedalus recalls various childhood experiences, including his desire to lie by the fire and think about sentences, being pushed into a ditch by Wells, his mother waiting for tea with Dante, and the boys playing a game of ball in the playground.	2011	134	1	19	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	prediction	Stephen continues to navigate his childhood experiences, facing challenges, learning about the world, encountering new people, engaging in academic pursuits, and grappling with his emotions and desires.	2011	134	2	19	A young boy named Stephen Dedalus recalls his childhood experiences, including interactions with his family and classmates at school.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	summary	Stephen longs to be at home with his mother but is unable to, so he tries to distract himself by drinking tea and engaging in conversation with his classmates in the refectory.	3017	195	2	62	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	prediction	Stephen continues to grapple with his longing for home and his struggle to fit in with his classmates, seeking solace in his own thoughts and imagination.	3017	195	3	62	A young boy named Stephen Dedalus recalls his childhood experiences, including interactions with his family and classmates at school. Stephen Dedalus recalls various childhood experiences, including his desire to lie by the fire and think about sentences, being pushed into a ditch by Wells, his mother waiting for tea with Dante, and the boys playing a game of ball in the playground.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	summary	Stephen Dedalus contemplates the concept of God, politics, and the universe before attending night prayers in the chapel.	4033	261	3	94	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	prediction	Stephen Dedalus finishes his prayers, goes to bed, and falls asleep, feeling a warm glow from the sheets. He hears the voice of the prefect of the chapel saying the last prayers and hurries to undress and say his own prayers before the gas is lowered.	4033	261	4	94	A young boy named Stephen Dedalus recalls his childhood experiences, including interactions with his family and classmates at school. Stephen Dedalus recalls various childhood experiences, including his desire to lie by the fire and think about sentences, being pushed into a ditch by Wells, his mother waiting for tea with Dante, and the boys playing a game of ball in the playground. Stephen longs to be at home with his mother but is unable to, so he tries to distract himself by drinking tea and engaging in conversation with his classmates in the refectory.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	summary	Stephen Dedalus says his prayers and goes to bed, experiencing fear and thoughts of death and ghosts.	5039	334	4	112	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	prediction	Stephen wakes up feeling sick and weak, while the boys talk about him behind his back. Wells asks Stephen not to spy on them and Stephen promises not to.	5039	334	5	112	A young boy named Stephen Dedalus recalls his childhood experiences, including interactions with his family and classmates at school. Stephen Dedalus recalls various childhood experiences, including his desire to lie by the fire and think about sentences, being pushed into a ditch by Wells, his mother waiting for tea with Dante, and the boys playing a game of ball in the playground. Stephen longs to be at home with his mother but is unable to, so he tries to distract himself by drinking tea and engaging in conversation with his classmates in the refectory. Stephen Dedalus contemplates the concept of God, politics, and the universe before attending night prayers in the chapel.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	summary	"Stephen Dedalus is taken to the infirmary by Brother Michael after feeling sick and being told he will receive his ""walking papers"" in the morning."	6042	406	5	129	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	prediction	Stephen Dedalus receives medical treatment in the infirmary and contemplates mortality, imagining his funeral and feeling emotional about a song. Brother Michael interrupts with a bowl of beef-tea.	6042	406	6	129	A young boy named Stephen Dedalus recalls his childhood experiences, including interactions with his family and classmates at school. Stephen Dedalus recalls various childhood experiences, including his desire to lie by the fire and think about sentences, being pushed into a ditch by Wells, his mother waiting for tea with Dante, and the boys playing a game of ball in the playground. Stephen longs to be at home with his mother but is unable to, so he tries to distract himself by drinking tea and engaging in conversation with his classmates in the refectory. Stephen Dedalus contemplates the concept of God, politics, and the universe before attending night prayers in the chapel. Stephen Dedalus says his prayers and goes to bed, experiencing fear and thoughts of death and ghosts.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-0.5	summary	Stephen Dedalus engages in a conversation with a classmate named Athy, who tells him a riddle and mentions his father's connection to Brother Michael. Stephen contemplates his own father and the time period of his granduncle, and then imagines a scene of sorrow and mourning involving Dante and Brother Michael.	7058	471	6	154	
