filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	summarylen	summarytext
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace.	1015	56	0	0	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves the bar and walks through the Ninsei crowds, feeling the weight of his past as a cowboy and the consequences of his betrayal. He contemplates his uncertain future and the challenges he will face as he tries to survive in the Sprawl.	1015	56	1	0	
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee.	2020	95	1	38	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case continues his self-destructive behavior on the streets of Night City, while his thoughts of Linda Lee consume him.	2020	95	2	38	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage.	3021	153	2	86	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Linda Lee warns Case about Wage, and Case leaves the bar, walking through the crowded streets of Ninsei. He contemplates the possibility of being killed by Wage and reflects on his role as a middleman in the criminal underworld.	3021	153	3	86	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him.	4028	208	3	121	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves Deane's office and senses someone following him closely. He tries to maintain his composure and blends into the crowd, eventually finding a darkened display window to pause by.	4028	208	4	121	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar.	5031	270	4	160	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case arrives at the Chat bar and asks Lonny Zone about Wage's location. Zone confirms that Wage was seen in the Namban and notices the concealed cobra on Case. Case leaves the bar, feeling that he is being followed.	5031	270	5	160	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life.	6046	335	5	198	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case heads to Cheap Hotel, where he has a rented coffin, to make calls and conduct business, relieved that his tail is gone.	6046	335	6	198	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case enters a cheap sleeping place, opens a specific coffin, finds a computer and a cooler inside, and makes a phone call to sell stolen RAM. He then heads to the Chat bar where he encounters Ratz and Wage, with Ratz intervening to prevent trouble.	7051	402	6	230	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Wage confronts Case at the Chat bar, but Ratz intervenes to prevent a fight. Case expresses gratitude to Ratz and prepares for a potential confrontation with Wage and his joeboys.	7051	402	7	230	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. He now sleeps in cheap coffins near the port, feeling the weight of his self-destruction and haunted by memories of Linda Lee. Case watches Linda Lee, a former lover and drug addict, approach him in a bar. They have a conversation about their current situations and Linda warns Case about a potential threat from someone named Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his primary supplier, and his fascination with shuriken. He then visits Julius Deane, a wealthy and aged man, to inquire about Wage's intentions to kill him. Case enters a surgical boutique and contemplates the possibility of carrying a vatgrown flesh device instead of undergoing surgery. He then purchases a weapon, a cobra, and conceals it on his person before heading to the Chat bar. Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and hides under a console, fearing for his life.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for his safety. Case then leaves the bar and reflects on his recent encounter with Linda Lee.	8067	467	7	275	
