filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	Driving a pickup truck, the narrator arrives at the Morris Pipe and Supply company. He flirts with the owner's daughter and tries to get information from her.	1007	78	0
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator continues talking to Mr. Morris' daughter, trying to extract information from her about the business.	1007	78	1
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	The narrator, who goes by the name of Harry Witstow, takes Norma Morris out for a date. Then he comes back home and talks to Driller.	3024	218	2
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator talks to Driller, who lets him know about a problem.	3024	218	3
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	Mr Botts makes a scene, shouting at the narrator and Driller, because he thinks he's being cheated. Jerome unfortunately makes things worse by threatening Mr. Botts.	5054	361	4
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator talks to Jerome and learns that Jerome feels undervalued.	5054	361	5
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	Morris tells the narrator, Harry, that a big company, Amalgamated, doesn't want him selling shot hole casing to Harry's company. However, Morris agrees to sell him a small quantity of flues.	7059	517	6
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator continues to talk to Norma. Then he returns home and tells Driller about the obstacle to their work.	7059	517	7
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	Five hundred feet of flues arrive at the drilling site, enough to get the job done. The narrator tells Driller that he's heading into town, and Driller guesses that he really wants to see Norma.	9072	667	8
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator thanks Norma for sending them the flues. She says she hasn't seen her father lately.	9072	667	9
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	The narrator asks for a ride to Dallas with Pete. He returns to the lease and finds the men worried that Botts is going to pose problems for them.	11090	817	10
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator continues to worry that Amalgamated is pushing them off their lease. The next day, he catches a ride to Dallas.	11090	817	11
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	The narrator reealizes that someone may be trying to kill him. He talks to the town sheriff, a man named Cartom, about his suspicions, but the sheriff refuses to take them seriously.	13108	963	12
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	As he closes the glove compartment, the narrator realizes that someone may be searching his pickup or sabotaging it.	13108	963	13
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	Sheriff Cartom comes to the narrator and Driller and asks them about their activities the previous night. Eventually, the sheriff reveals that the night watchman was murdered the previous night.	15121	1110	14
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	Sheriff Cartom, Driller, and the narrator argue about who had opportunity and motive to kill the night watchman. The sheriff continues to be suspicious.	15121	1110	15
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	The narrator finds that local landowners have sold their water rights and won't give him any water. At the post office, he finds an envelope addressed to Harry Witstow, by the same hand that wrote the note in his pickup.	17151	1266	16
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator opens the envelope and finds another threat. The narrator tries to find a way to get water for drilling.	17151	1266	17
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	The narrator tells Jerome and Driller about the threatening note, and they recommend he leave town. Jerome comments that the narrator could have been the one to kill Pete.	19177	1420	18
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	The narrator and Driller talk about the recent murders, and discuss what to do about them. The narrator makes a plan to talk to Lester.	19177	1420	19
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	summary	The narrator confronts Lester and they both accuse each other of murder.	21194	1579	20
00010944.txt	Murder is Dangerous	Saul Levinson	WEU-1	prediction	Jerome is gradually forced to talk about his suspicious relationship to Lester.	21194	1579	21
