filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost.	1016	53	0	0	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Sethe and Denver summon the ghost and hope a conversation will help them end the persecution; they push the sideboard back against the wall and await the arrival of the ghost.	1016	53	1	0	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death.	2026	111	1	27	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Sethe and Paul D reconnect after 18 years and discuss their past at Sweet Home, sharing their struggles since then.	2026	111	2	27	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe and Paul D reminisce about their past at Sweet Home and discuss Baby Suggs' death, reflecting on Sethe's escape and the birth of her daughter.	3046	171	2	47	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Paul D stays the night at Sethe's house despite the unsettling presence he senses, and they continue their conversation while Sethe cooks. After learning about Sethe's deceased daughter and absence of her sons, Paul D accepts Sethe and her daughter Denver's company.	3046	171	3	47	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost. Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Garner and Sethe discuss the concept of black men, causing Garner to provoke arguments to defend the manhood of his slaves, including Paul D and Halle. Sethe introduces Denver to Paul D.	4053	225	3	73	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Paul D and Sethe reminisce about Sweet Home and Denver feels lonely, longing for the baby ghost's attention.	4053	225	4	73	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost. Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death. Sethe and Paul D reminisce about their past at Sweet Home and discuss Baby Suggs' death, reflecting on Sethe's escape and the birth of her daughter.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	In the passage, Sethe and her daughter Denver discuss the presence of a ghost in their house, while Paul D suggests the idea of moving. Denver expresses her dissatisfaction with their current situation, and Sethe declares her determination to never run away again.	5061	294	4	105	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Sethe, Denver, and Paul D navigate the haunting in their house, seeking resolution while trying to build a sense of community within their home.	5061	294	5	105	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost. Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death. Sethe and Paul D reminisce about their past at Sweet Home and discuss Baby Suggs' death, reflecting on Sethe's escape and the birth of her daughter. Garner and Sethe discuss the concept of black men, causing Garner to provoke arguments to defend the manhood of his slaves, including Paul D and Halle. Sethe introduces Denver to Paul D.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe reminisces on her past and the trauma she endured while making biscuits, and Paul D comforts her by holding her breasts.	6062	344	5	148	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Paul D suggests leaving the house to escape the ghost, sparking a conversation about Sethe's past trauma, and Sethe expresses her desire for a moment of peace amidst her responsibilities.	6062	344	6	148	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost. Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death. Sethe and Paul D reminisce about their past at Sweet Home and discuss Baby Suggs' death, reflecting on Sethe's escape and the birth of her daughter. Garner and Sethe discuss the concept of black men, causing Garner to provoke arguments to defend the manhood of his slaves, including Paul D and Halle. Sethe introduces Denver to Paul D. In the passage, Sethe and her daughter Denver discuss the presence of a ghost in their house, while Paul D suggests the idea of moving. Denver expresses her dissatisfaction with their current situation, and Sethe declares her determination to never run away again.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe, Denver, and Paul D experience a tumultuous and violent incident in their home, which eventually ends in a calm and quiet stillness.	7089	396	6	170	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Sethe, Denver, and Paul D navigate the aftermath of the disturbance, seeking solace and stability. Denver reflects on her past and misses her lost siblings, while Sethe and Paul D grapple with insecurities and vulnerabilities.	7089	396	7	170	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost. Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death. Sethe and Paul D reminisce about their past at Sweet Home and discuss Baby Suggs' death, reflecting on Sethe's escape and the birth of her daughter. Garner and Sethe discuss the concept of black men, causing Garner to provoke arguments to defend the manhood of his slaves, including Paul D and Halle. Sethe introduces Denver to Paul D. In the passage, Sethe and her daughter Denver discuss the presence of a ghost in their house, while Paul D suggests the idea of moving. Denver expresses her dissatisfaction with their current situation, and Sethe declares her determination to never run away again. Sethe reminisces on her past and the trauma she endured while making biscuits, and Paul D comforts her by holding her breasts.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe reminisces about her past on Sweet Home and reflects on the trauma she endured while making biscuits, while Paul D comforts her. Sethe is determined to never run away again.	8094	442	7	193	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Denver expresses her dissatisfaction, prompting Sethe to consider moving. Sethe confides in Paul D about her fears and anxieties, seeking his support.	8094	442	8	193	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost. Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death. Sethe and Paul D reminisce about their past at Sweet Home and discuss Baby Suggs' death, reflecting on Sethe's escape and the birth of her daughter. Garner and Sethe discuss the concept of black men, causing Garner to provoke arguments to defend the manhood of his slaves, including Paul D and Halle. Sethe introduces Denver to Paul D. In the passage, Sethe and her daughter Denver discuss the presence of a ghost in their house, while Paul D suggests the idea of moving. Denver expresses her dissatisfaction with their current situation, and Sethe declares her determination to never run away again. Sethe reminisces on her past and the trauma she endured while making biscuits, and Paul D comforts her by holding her breasts. Sethe, Denver, and Paul D experience a tumultuous and violent incident in their home, which eventually ends in a calm and quiet stillness.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe reflects on her past and her relationships with her children and her former husband Paul D, while Paul D observes her and reminisces about his own past experiences with the Thirty-Mile Woman.	9119	510	8	224	
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	prediction	Sethe and Paul D delve into their shared past and confront their unresolved emotions and the complexities of their relationship.	9119	510	9	224	Sethe and her daughter Denver are the victims of spite in their house; both endure the outrageous behavior but eventually decide to seek help from a ghost. Sethe and Paul D reunite after 18 years, reminiscing about their past at Sweet Home and discussing Baby Suggs' death. Sethe and Paul D reminisce about their past at Sweet Home and discuss Baby Suggs' death, reflecting on Sethe's escape and the birth of her daughter. Garner and Sethe discuss the concept of black men, causing Garner to provoke arguments to defend the manhood of his slaves, including Paul D and Halle. Sethe introduces Denver to Paul D. In the passage, Sethe and her daughter Denver discuss the presence of a ghost in their house, while Paul D suggests the idea of moving. Denver expresses her dissatisfaction with their current situation, and Sethe declares her determination to never run away again. Sethe reminisces on her past and the trauma she endured while making biscuits, and Paul D comforts her by holding her breasts. Sethe, Denver, and Paul D experience a tumultuous and violent incident in their home, which eventually ends in a calm and quiet stillness. Sethe reminisces about her past on Sweet Home and reflects on the trauma she endured while making biscuits, while Paul D comforts her. Sethe is determined to never run away again.
00022741.txt	Beloved	Toni Morrison	Turbo-1.0	summary	Sethe asks Mrs. Garner about getting married to Halle, and after being assured of Halle's character, they proceed to have an impromptu wedding ceremony in Sethe's cabin, followed by an intimate encounter in the cornfield.	10133	566	9	257	
