filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful.	1016	53	0	0	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe and Denver continue to live in the haunted house, facing ongoing persecution from the ghost. They seek ways to appease the ghost and find peace within their home.	1016	53	1	0	
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men.	2026	111	1	42	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe and Paul D reconnect and reminisce about Sweet Home, while discussing Sethe's missing daughter and the potential for a reunion.	2026	111	2	42	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house.	3046	171	2	74	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe and Paul D bond over their shared experiences and grief, and Paul D learns more about Sethe's past and the haunting of the house.	3046	171	3	74	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father.	4053	225	3	100	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe, Paul D, and Denver bond and share their stories, forming a deeper connection. They confront the haunting presence in the house and work together to find a way to free themselves from its grip.	4053	225	4	100	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house.	5061	294	4	123	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe, Denver, and Paul D discuss the haunted house and their struggles living there, with Sethe revealing the burden of a tree on her back and her determination to never run away again. Paul D listens and supports Sethe, while Denver expresses her desire to leave the house.	5061	294	5	123	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe reminisces about her past and the loss of her milk, while making biscuits in the kitchen. Paul D comforts Sethe and they share a moment of intimacy.	6062	344	5	152	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe and Paul D's connection deepens as they share their past traumas and find solace in each other's presence, developing a strong bond and emotional support.	6062	344	6	152	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father. Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe, Denver, and Paul D are startled by the haunting presence in the house, causing chaos and destruction, but eventually find solace in each other's presence.	7089	396	6	180	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe, Denver, and Paul D navigate their haunted house, confronting the ghostly presence and finding solace in each other's presence as they continue to cope with their shared trauma.	7089	396	7	180	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father. Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house. Sethe reminisces about her past and the loss of her milk, while making biscuits in the kitchen. Paul D comforts Sethe and they share a moment of intimacy.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe and Paul D engage in an intimate moment, but are interrupted by a haunting presence in the house, causing chaos and destruction.	8094	442	7	206	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe, Paul D, and Denver try to calm down after the chaos caused by the haunting presence, and they discuss their next steps to deal with the ghost and find solace in each other's presence.	8094	442	8	206	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father. Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house. Sethe reminisces about her past and the loss of her milk, while making biscuits in the kitchen. Paul D comforts Sethe and they share a moment of intimacy. Sethe, Denver, and Paul D are startled by the haunting presence in the house, causing chaos and destruction, but eventually find solace in each other's presence.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe and Paul D reflect on their past experiences and relationships, with Sethe feeling regretful about her choices and Paul D reminiscing about a failed rendezvous with a woman named Patsy. They both observe each other's physical appearances and engage in a moment of connection.	9119	510	8	229	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe and Paul D deepen their emotional connection by sharing their past traumas and finding solace in each other's presence, forming a strong bond of understanding and support.	9119	510	9	229	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father. Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house. Sethe reminisces about her past and the loss of her milk, while making biscuits in the kitchen. Paul D comforts Sethe and they share a moment of intimacy. Sethe, Denver, and Paul D are startled by the haunting presence in the house, causing chaos and destruction, but eventually find solace in each other's presence. Sethe and Paul D engage in an intimate moment, but are interrupted by a haunting presence in the house, causing chaos and destruction.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe and Halle decide to get married and have an intimate encounter in a cornfield, while Paul D and the other men watch from a distance. Denver finds solace and escape in a secret room made of boxwood bushes.	10133	566	9	274	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe and Paul D deepen their relationship, while Denver finds solace in her secret room. The haunting presence in the house continues to impact their lives.	10133	566	10	274	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father. Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house. Sethe reminisces about her past and the loss of her milk, while making biscuits in the kitchen. Paul D comforts Sethe and they share a moment of intimacy. Sethe, Denver, and Paul D are startled by the haunting presence in the house, causing chaos and destruction, but eventually find solace in each other's presence. Sethe and Paul D engage in an intimate moment, but are interrupted by a haunting presence in the house, causing chaos and destruction. Sethe and Paul D reflect on their past experiences and relationships, with Sethe feeling regretful about her choices and Paul D reminiscing about a failed rendezvous with a woman named Patsy. They both observe each other's physical appearances and engage in a moment of connection.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Denver approaches the haunted house, seeing her mother on her knees in prayer, accompanied by a white dress that embraces her. Denver reminisces about her birth and the magic surrounding it, as she walks towards the front of the house.	11160	613	10	313	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Denver enters the house and witnesses a haunting presence that startles her. Seeking comfort from her mother, they discuss the impending arrival of Denver's siblings and the challenges they will face.	11160	613	11	313	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father. Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house. Sethe reminisces about her past and the loss of her milk, while making biscuits in the kitchen. Paul D comforts Sethe and they share a moment of intimacy. Sethe, Denver, and Paul D are startled by the haunting presence in the house, causing chaos and destruction, but eventually find solace in each other's presence. Sethe and Paul D engage in an intimate moment, but are interrupted by a haunting presence in the house, causing chaos and destruction. Sethe and Paul D reflect on their past experiences and relationships, with Sethe feeling regretful about her choices and Paul D reminiscing about a failed rendezvous with a woman named Patsy. They both observe each other's physical appearances and engage in a moment of connection. Sethe and Halle decide to get married and have an intimate encounter in a cornfield, while Paul D and the other men watch from a distance. Denver finds solace and escape in a secret room made of boxwood bushes.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe encounters a girl named Amy in the grass, who talks about her desire for velvet and her journey to Boston, while Sethe reveals her pregnancy and inability to move.	12184	676	11	353	
00022741.txt	Beloved	Toni Morrison	Turbo-0	prediction	Sethe and Amy make their way towards a nearby lean-to house, with Amy assisting Sethe as she crawls, and they continue their conversation about Boston, velvet, and food.	12184	676	12	353	Sethe and her daughter Denver are the victims of the spiteful and haunted house they live in, after the death of Sethe's mother-in-law and the departure of Sethe's sons. They try to communicate with the ghost haunting the house but are unsuccessful. Sethe and Baby Suggs discuss their past and the loss of their children, while Sethe recalls a memory of Sweet Home and encounters Paul D, the last of the Sweet Home men. Sethe and Paul D discuss their past and the loss of their children, and Sethe invites Paul D to stay the night at her haunted house. Sethe introduces Paul D to her daughter Denver, and they engage in a conversation about their past and the absence of Denver's father. Sethe, Denver, and Paul D discuss the ghost haunting their house and the memories of Sweet Home, while Denver expresses her unhappiness and desire to leave the haunted house. Sethe reminisces about her past and the loss of her milk, while making biscuits in the kitchen. Paul D comforts Sethe and they share a moment of intimacy. Sethe, Denver, and Paul D are startled by the haunting presence in the house, causing chaos and destruction, but eventually find solace in each other's presence. Sethe and Paul D engage in an intimate moment, but are interrupted by a haunting presence in the house, causing chaos and destruction. Sethe and Paul D reflect on their past experiences and relationships, with Sethe feeling regretful about her choices and Paul D reminiscing about a failed rendezvous with a woman named Patsy. They both observe each other's physical appearances and engage in a moment of connection. Sethe and Halle decide to get married and have an intimate encounter in a cornfield, while Paul D and the other men watch from a distance. Denver finds solace and escape in a secret room made of boxwood bushes. Denver approaches the haunted house, seeing her mother on her knees in prayer, accompanied by a white dress that embraces her. Denver reminisces about her birth and the magic surrounding it, as she walks towards the front of the house.
00022741.txt	Beloved	Toni Morrison	Turbo-0	summary	Sethe, injured and in pain, is comforted by Amy as she tends to her wounds and massages her swollen feet, while Denver observes and recalls the haunting presence of a white dress embracing her mother.	13197	752	12	383	
