filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on the past year, describing their family's move to a new place, the challenges they faced, and the uncertainty surrounding their land and future.	1015	44	0
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	The family settles into their new home, working hard to make the land productive and overcome financial difficulties. The mother remains a source of stability and faith, while the father grapples with doubts and frustrations.	1015	44	1
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on their family's move to a new place, the challenges they faced, and the uncertainty surrounding their land and future. They recall the first spring in their new home, marked by worry and fear, but also a love for the changing and beautiful land.	2019	81	1
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Merle suggests a party for their father's birthday, but Kerrin questions the source of money, leading to a defensive outburst from Kerrin and the narrator feeling embarrassed and afraid.	2019	81	2
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator and their sisters, Merle and Kerrin, have a conversation about what gifts they will give someone. The narrator feels unsure about what they will give and reflects on their family dynamics and their father's treatment of Kerrin.	3031	134	2
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Kerrin confronts their father about his treatment of her and demands that he recognizes her abilities. The narrator continues to struggle with self-doubt and feelings of inadequacy.	3031	134	3
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator and their sisters spend time with their mother, cutting up potatoes for seed, and reflecting on their family dynamics and their father's treatment of Kerrin.	4062	170	3
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	The narrator and their sisters continue to plan for their father's birthday party, making preparations and rehearsing a poem. They feel apprehensive about inviting unfamiliar people, but ultimately decide to go ahead with their plans.	4062	170	4
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on their family's preparations for their father's birthday, including the gifts they plan to give him, and observes Kerrin's strange behavior.	5116	207	4
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Kerrin's mysterious behavior continues to unsettle the narrator, leading them to investigate further and uncover a secret that Kerrin has been keeping. This revelation will have a profound impact on the family dynamics and their perception of Kerrin.	5116	207	5
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	Kerrin presents her father with a folded knife as a gift, but accidentally slashes their dog Cale's nose, causing chaos and anger in the room.	6151	252	5
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Kerrin is banished from the room by her father after accidentally injuring their dog, and the family is left to deal with the aftermath of the incident. They must tend to Cale's wounds and try to calm down the tense atmosphere.	6151	252	6
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator and Merle witness Kerrin's outburst and accidental injury to their dog Cale, causing their mother to take Cale outside and confront their father. The narrator and Merle are left feeling sad and uncertain about Kerrin's whereabouts.	7156	301	6
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Kerrin returns home, but the incident with Cale has lasting effects on their family dynamics. The narrator and their sisters navigate the challenges of their new home and their inner lives.	7156	301	7
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on the challenges their family has faced in their new home, the uncertainty surrounding their land and future, and their father's heavy burden of debt. They express hope that this year will be different and better, and describe the arrival of spring and the changes it brings to the land.	8160	356	7
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	The narrator and their family continue to work hard on the land, facing setbacks but finding hope in the growth of their crops.	8160	356	8
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on the challenges their family has faced in their new home, the uncertainty surrounding their land and future, and their sister Kerrin's strange behavior as a teacher.	9175	395	8
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Kerrin's behavior continues to worry the narrator, who suspects there is something deeply wrong with her. The narrator anticipates that Kerrin's actions will have consequences for their family and the community.	9175	395	9
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on Kerrin's restless and uncertain moods, her love for reading, and her desire for love and fulfillment.	10189	427	9
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Kerrin continues to search for love and fulfillment, engaging in activities like fox-hunting and walking alone at night. The narrator observes Kerrin's behavior and wonders if she will visit the grave of their dog Cale.	10189	427	10
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on their father's birthday and the challenges their family faces, including their father's financial struggles and their sister Kerrin's strange behavior. The father expresses frustration over the lack of help on the farm and the uncertainty of their future.	11220	480	10
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Father's frustration grows as he struggles to find help on the farm, while the narrator and their sisters try to manage his anger and despair, as well as unravel the mystery behind Kerrin's behavior.	11220	480	11
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on the upcoming arrival of Grant, a man who has been away for five years and is returning to his father's place. The narrator describes their thoughts and feelings about Grant, as well as their own insecurities and envy towards their sister Kerrin's beauty.	12238	528	11
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Grant arrives at the narrator's home and is introduced to the family. The narrator observes the interactions between Grant and their family members, particularly Kerrin, and begins to develop a curiosity and interest in Grant. They wonder how Grant's presence will change their lives and if he will bring something different to their small community.	12238	528	12
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	summary	The narrator reflects on the beauty of their new home and the sense of belonging they feel, while also acknowledging their sister Kerrin's restlessness and dissatisfaction with their surroundings.	13257	567	12
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo3	prediction	Kerrin's restlessness continues to grow, leading her to venture out into the night again. This time, her actions will have unforeseen consequences that will deeply affect the family.	13257	567	13
