filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	summary	The narrator drives down a bumpy road in an oil field, arrives at Morris Pipe and Supply Company, and meets Mr. Morris' daughter who informs him that her father is out of town.	1007	78	0	0	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	prediction	"The narrator engages in conversation with Mr. Morris' daughter, discussing geology and introducing her to the term ""Hiatus"". They develop a friendly connection, and the narrator expresses interest in boiler flues, leading to a potential discussion about the subject."	1007	78	1	0	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	summary	The narrator explains to Norma, Mr. Morris' daughter, about his job in oil exploration and the need for shot hole casing, teaching her the difference between pipe and shot hole casing.	2014	155	1	33	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	prediction	Norma takes the narrator's order for two thousand feet of three inch shot hole casing, leaving their supper date plans uncertain.	2014	155	2	33	The narrator drives down a bumpy road in an oil field, arrives at Morris Pipe and Supply Company, and meets Mr. Morris' daughter who informs him that her father is out of town.
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	summary	The narrator agrees to stay and help Norma at the shop until supper time, and they have a playful conversation about moving a desk.	3024	218	2	64	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	prediction	Norma and the narrator spend the summer together, deepening their romantic relationship as they navigate the challenges of the oil business.	3024	218	3	64	The narrator drives down a bumpy road in an oil field, arrives at Morris Pipe and Supply Company, and meets Mr. Morris' daughter who informs him that her father is out of town. The narrator explains to Norma, Mr. Morris' daughter, about his job in oil exploration and the need for shot hole casing, teaching her the difference between pipe and shot hole casing.
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	summary	The narrator and Driller talk about their relationship and the narrator's failed attempt to acquire shot hole casing, before going to bed for the night.	4042	288	3	88	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	prediction	Driller wakes the narrator up in the morning, they have breakfast, and the narrator plans to go to town to get the casing while Driller prepares for the drilling. However, before the narrator can leave, Mr. Botts enters and confronts him, demanding that he and his crew leave the land immediately.	4042	288	4	88	The narrator drives down a bumpy road in an oil field, arrives at Morris Pipe and Supply Company, and meets Mr. Morris' daughter who informs him that her father is out of town. The narrator explains to Norma, Mr. Morris' daughter, about his job in oil exploration and the need for shot hole casing, teaching her the difference between pipe and shot hole casing. The narrator agrees to stay and help Norma at the shop until supper time, and they have a playful conversation about moving a desk.
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	summary	The narrator and Driller confront Mr. Botts about his accusations of being swindled over the shooting rights to his land.	5054	361	4	113	
00010944.txt	Murder is Dangerous	Saul Levinson	Turbo-0.5	prediction	The narrator and Driller repair their relationship with Mr. Botts and convince him to honor their contract.	5054	361	5	113	The narrator drives down a bumpy road in an oil field, arrives at Morris Pipe and Supply Company, and meets Mr. Morris' daughter who informs him that her father is out of town. The narrator explains to Norma, Mr. Morris' daughter, about his job in oil exploration and the need for shot hole casing, teaching her the difference between pipe and shot hole casing. The narrator agrees to stay and help Norma at the shop until supper time, and they have a playful conversation about moving a desk. The narrator and Driller talk about their relationship and the narrator's failed attempt to acquire shot hole casing, before going to bed for the night.
