filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	The passage introduces Case, a former cowboy and thief, who is now living in Chiba City. He frequents the Chatsubo, a bar for expatriates, where he interacts with Ratz, the bartender, and encounters a prostitute. Case is haunted by his past in cyberspace and the damage done to his nervous system.	1015	56	0
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case navigates the seedy underworld of Chiba City, becoming entangled in a dangerous scheme that forces him to confront his past and make difficult choices.	1015	56	1
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case, a former cowboy and thief, is living in Chiba City, haunted by his past in cyberspace and seeking a cure for the damage done to his nervous system. He spends his nights in cheap coffins near the port, surrounded by the neon lights and holograms of Night City.	2020	95	1
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case spirals further into self-destruction, running risky deals and disregarding precautions, while tormented by thoughts of Linda Lee, the woman he found in an arcade.	2020	95	2
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case encounters Linda, a young woman who is addicted to drugs and owes money to a dangerous man named Wage. Case gives her money and warns her to be careful, but he is unsure if he should believe Linda's claim that Wage wants him dead.	3021	153	2
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Linda's warning about Wage lingers in Case's thoughts as he walks through the bustling streets of Ninsei, contemplating the potential threat to his life and the uncertain path he should take to ensure his safety.	3021	153	3
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case visits Julius Deane, a 135-year-old man who is his primary supplier, to inquire about rumors that Wage wants to kill him.	4028	208	3
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves Deane's office and senses someone is following him. He tries to maintain his composure and finds a darkened display window to pause by, attempting to evade his pursuer.	4028	208	4
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case visits a surgical boutique and purchases a weapon called a cobra. He conceals it and heads to the Chatsubo bar, where he talks to Lonny Zone about Wage and realizes he is being followed.	5031	270	4
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case confronts his tail and gathers information about Wage's whereabouts and intentions.	5031	270	5
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case breaks into an office cubicle in an arcade, but finds nothing of value and triggers an alarm. He escapes through a window and falls onto the pavement, injured but relieved that his pursuers didn't catch him.	6046	335	5
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case heads towards Cheap Hotel, nursing his injured ankle, and plans to make important calls and conduct business from his rented coffin.	6046	335	6
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case enters a cheap place to sleep, opens a coffin with a key, finds a computer and a cooler inside, and makes a phone call to sell some RAM. He then heads to the Chatsubo bar, where he talks to Ratz about Wage and is confronted by Wage and his joeboys.	7051	402	6
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Wage and his joeboys confront Case at the Chatsubo bar, leading to a tense standoff between them and Ratz. Kurt aims a riot gun at Wage and his men.	7051	402	7
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case confronts Wage in the Chatsubo bar, pointing a gun at him, and they discuss the rumors of Wage wanting to kill Case. Case gives Wage a flask of pituitaries as payment and decides to go see Shin to get his deposit back.	8067	467	7
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Molly reveals that she is collecting Case for the man she works for and assures him that nobody wants to hurt him, although she admits that she sometimes hurts people.	8067	467	8
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case meets Molly, a woman with scalpel blades hidden in her nails, and Armitage, a man who claims to have a solution for Case's neural damage. Armitage offers to fix Case's neural damage in exchange for his help with a job.	9072	530	8
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case agrees to work with Armitage and Molly, embarking on a dangerous mission together, navigating the world of cyberspace and corporate espionage.	9072	530	9
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly discuss their mysterious employer and the uncertainty surrounding their current job, while Case reflects on his recent experiences and the pain he has endured.	10081	596	9
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly receive a call from Armitage, who instructs them to meet him at the Hilton. They go to the Hilton and meet with Armitage, who reveals more details about the job and their next destination.	10081	596	10
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case engages in a sexual encounter with a woman named Linda, who warns him about Wage wanting him dead. Case then visits Julius Deane, who provides him with information about Armitage and the history of the war.	11086	664	10
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves Deane's place and heads to the Hilton to meet Armitage, where he learns more about the job and his neural damage. He encounters Molly and they discuss their next steps.	11086	664	11
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly go to a dome called Sammi's, where they watch a knife fight. Case starts to feel uneasy and doubts the success of his operation, but then sees Linda Lee, who he had thought was dead, and chases after her.	12088	733	11
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case catches up to Linda Lee and confronts her, demanding answers about her supposed death and why she is still alive. Linda Lee reveals that she faked her death and is involved in a dangerous conspiracy, and she pleads with Case to help her escape from those who are after her.	12088	733	12
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case finds Linda Lee dead and is informed by Molly that she was killed by friends of Wage. Molly takes Case to the port where Armitage is waiting, and they leave Chiba City on a hovercraft.	13097	801	12
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case, Molly, and Armitage arrive in the Sprawl and secure a room. Molly gives Case a souvenir and they discuss their plans.	13097	801	13
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case meets with Armitage, who reveals that Case has toxin sacs in his body that will dissolve unless he completes a job for Armitage. Molly hands Case a mug of coffee and they discuss the situation.	14098	869	13
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly retrieve the cases from the freight elevator and leave the building to go get breakfast in Manhattan.	14098	869	14
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly enter a hidden room filled with junk and meet Finn, a man who scans them for implants. They discuss their work for Armitage and the plan to retrieve the Flatline's construct from Sense/Net.	15100	937	14
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Finn reveals they need to steal the Flatline's construct from Sense/Net, which is locked in a library vault. They discuss the strange nature of their mission and the potential wealth they could gain if they were to steal other valuable material from Sense/Net.	15100	937	15
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly discuss Armitage and the job they are involved in, while Case experiences a hallucinatory vision in cyberspace.	16123	1003	15
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly meet with Finn, who provides them with a booby-trapped prototype device. They discuss its purpose and potential use in accessing simstim. Case contemplates the next steps of their mission.	16123	1003	16
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case sits in a loft with dermatrodes strapped to his forehead, preparing to access Molly's sensorium through simstim technology, experiencing a disorienting shift into her body and following her through the crowded streets of Memory Lane.	17134	1067	16
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Molly leads Case to a software rental complex where they encounter Larry, who notices that Molly has a rider and becomes suspicious. Molly tries to convince Larry to help them with the Panther Moderns, but he insists that her partner leaves.	17134	1067	17
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case meets with the Panther Moderns, a group of mercenaries and technofetishists, who provide him with a plan for the upcoming job. Case becomes fully immersed in his work, losing track of time and experiencing vivid memories of Chiba City.	18140	1124	17
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly execute their plan to infiltrate Sense/Net, with Case using his intrusion program to link with the company's systems. Molly stands in the lobby of the building, observing her reflection in a wall of gold-flecked mirrors, while Case monitors the progress of their operation.	18140	1124	18
