filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty.	1015	44	0	0	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	The family faces challenges on the new land, striving to make the orchards flourish and dealing with the father's skepticism, all while working hard to secure a better future for themselves.	1015	44	1	0	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun.	2019	81	1	43	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	Merle's desire to throw a birthday party for their father causes tension between her and Kerrin, escalating to a heated argument where Kerrin accuses Merle of stealing, leaving the narrator feeling embarrassed and apprehensive.	2019	81	2	43	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	The narrator and their two siblings, Kerrin and Merle, have a conversation about giving gifts. The narrator feels inadequate but remains hopeful, while Kerrin is confrontational. Merle takes charge and leads the way as they walk back home.	3031	134	2	75	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	The narrator contemplates a meaningful gift and tries their best to create something special, while Kerrin remains frustrated with their father and continues to push their mother to assert herself. Merle remains steadfast and supports their mother in her daily tasks.	3031	134	3	75	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty. Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	The narrator and their siblings return home to find their mother cutting up potatoes for seed, and despite their own concerns, they admire their mother's youthful appearance and appreciate her attentive listening.	4062	170	3	113	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	The narrator and their siblings continue to plan their father's birthday party, making up a ballad and teaching it to Merle, while tensions escalate between Merle and Kerrin.	4062	170	4	113	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty. Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun. The narrator and their two siblings, Kerrin and Merle, have a conversation about giving gifts. The narrator feels inadequate but remains hopeful, while Kerrin is confrontational. Merle takes charge and leads the way as they walk back home.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	The narrator and their siblings are preparing gifts for their father's birthday, with each sibling having their own secret plan. The narrator makes a clay basket stained with a design of red things, while Kerrin appears distant and mysterious, going off alone into the woods and singing to herself.	5116	207	4	145	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	Kerrin's mysterious behavior foreshadows an unsettling or unexpected event happening during their father's birthday celebration.	5116	207	5	145	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty. Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun. The narrator and their two siblings, Kerrin and Merle, have a conversation about giving gifts. The narrator feels inadequate but remains hopeful, while Kerrin is confrontational. Merle takes charge and leads the way as they walk back home. The narrator and their siblings return home to find their mother cutting up potatoes for seed, and despite their own concerns, they admire their mother's youthful appearance and appreciate her attentive listening.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	Kerrin presents a folded silver-tipped knife as her gift to their father, but accidentally slashes their blind dog, Cale, causing chaos and anger in the room.	6151	252	5	194	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	The family attends to Cale's bleeding nose, the mother tries to help but the dog becomes aggressive, resulting in the father restraining the dog, while Kerrin is shouted at and told to leave the room. The family is left distraught and tense.	6151	252	6	194	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty. Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun. The narrator and their two siblings, Kerrin and Merle, have a conversation about giving gifts. The narrator feels inadequate but remains hopeful, while Kerrin is confrontational. Merle takes charge and leads the way as they walk back home. The narrator and their siblings return home to find their mother cutting up potatoes for seed, and despite their own concerns, they admire their mother's youthful appearance and appreciate her attentive listening. The narrator and their siblings are preparing gifts for their father's birthday, with each sibling having their own secret plan. The narrator makes a clay basket stained with a design of red things, while Kerrin appears distant and mysterious, going off alone into the woods and singing to herself.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	Kerrin accidentally slashes their blind dog, causing chaos and anger in the room. Their mother storms out in a rage, while the narrator and their sibling, Merle, are left behind feeling shocked and saddened.	7156	301	6	220	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	The narrator and Merle find solace in the chicken house, discussing Kerrin's return and the possibility of completing the birthday party another day.	7156	301	7	220	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty. Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun. The narrator and their two siblings, Kerrin and Merle, have a conversation about giving gifts. The narrator feels inadequate but remains hopeful, while Kerrin is confrontational. Merle takes charge and leads the way as they walk back home. The narrator and their siblings return home to find their mother cutting up potatoes for seed, and despite their own concerns, they admire their mother's youthful appearance and appreciate her attentive listening. The narrator and their siblings are preparing gifts for their father's birthday, with each sibling having their own secret plan. The narrator makes a clay basket stained with a design of red things, while Kerrin appears distant and mysterious, going off alone into the woods and singing to herself. Kerrin presents a folded silver-tipped knife as her gift to their father, but accidentally slashes their blind dog, Cale, causing chaos and anger in the room.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	The narrator reflects on their family's struggles with debt and their father's desperate desire for security, as spring slowly arrives and the land shows signs of life.	8160	356	7	254	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	The family perseveres through challenges, seeking fulfillment in the nearness of the life they desire on the land.	8160	356	8	254	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty. Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun. The narrator and their two siblings, Kerrin and Merle, have a conversation about giving gifts. The narrator feels inadequate but remains hopeful, while Kerrin is confrontational. Merle takes charge and leads the way as they walk back home. The narrator and their siblings return home to find their mother cutting up potatoes for seed, and despite their own concerns, they admire their mother's youthful appearance and appreciate her attentive listening. The narrator and their siblings are preparing gifts for their father's birthday, with each sibling having their own secret plan. The narrator makes a clay basket stained with a design of red things, while Kerrin appears distant and mysterious, going off alone into the woods and singing to herself. Kerrin presents a folded silver-tipped knife as her gift to their father, but accidentally slashes their blind dog, Cale, causing chaos and anger in the room. Kerrin accidentally slashes their blind dog, causing chaos and anger in the room. Their mother storms out in a rage, while the narrator and their sibling, Merle, are left behind feeling shocked and saddened.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	The narrator reflects on the uncertainty of their family's circumstances, hopes for a good year, and expresses concern about Kerrin's discontent and selfishness.	9175	395	8	281	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	prediction	Kerrin's discontent and selfishness intensify, causing tension within the family. The narrator and their siblings struggle to navigate Kerrin's presence at home, while also grappling with their own inner turmoil.	9175	395	9	281	In November, the narrator reflects on the past year of their lives, including the uncertainty surrounding their family's move to a mortgaged old house on a promising but unfamiliar land, and the quiet strength exhibited by their mother in the face of uncertainty. Merle fills an old nest with stones and places it on the mantelpiece, while the narrator reflects on their early experiences in the new house and the balance between wind and sun. The narrator and their two siblings, Kerrin and Merle, have a conversation about giving gifts. The narrator feels inadequate but remains hopeful, while Kerrin is confrontational. Merle takes charge and leads the way as they walk back home. The narrator and their siblings return home to find their mother cutting up potatoes for seed, and despite their own concerns, they admire their mother's youthful appearance and appreciate her attentive listening. The narrator and their siblings are preparing gifts for their father's birthday, with each sibling having their own secret plan. The narrator makes a clay basket stained with a design of red things, while Kerrin appears distant and mysterious, going off alone into the woods and singing to herself. Kerrin presents a folded silver-tipped knife as her gift to their father, but accidentally slashes their blind dog, Cale, causing chaos and anger in the room. Kerrin accidentally slashes their blind dog, causing chaos and anger in the room. Their mother storms out in a rage, while the narrator and their sibling, Merle, are left behind feeling shocked and saddened. The narrator reflects on their family's struggles with debt and their father's desperate desire for security, as spring slowly arrives and the land shows signs of life.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-5-1.0	summary	Kerrin's restlessness and longing for love are explored, while the narrator reflects on her role in the family and her insatiable desire for something more.	10189	427	9	304	
