filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	summary	The Death Star, a massive battle station, floats above the green moon Endor, while an Imperial shuttle approaches with Darth Vader on board.	1029	57	0	0	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	prediction	Darth Vader confronts Moff Jerjerrod about the progress of the Death Star's construction, threatening to expedite the process if necessary.	1029	57	1	0	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	summary	Vader threatens Commander Jerjerrod to double his efforts to complete the final destruction of the Rebel fleet, while a shrouded figure on Tatooine works on a strange device with the help of the droid Artoo-Detoo.	2039	117	1	23	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	prediction	The iron door of Jabba's palace slowly rises, allowing Threepio and Artoo to enter, but they are met with an ominous and unknown presence lurking in the darkness.	2039	117	2	23	The Death Star, a massive battle station, floats above the green moon Endor, while an Imperial shuttle approaches with Darth Vader on board.
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	summary	The two droids, Threepio and Artoo, enter a dark and ominous passageway, encountering Gamorrean guards and Bib Fortuna, who leads them to the throne room where Jabba the Hutt resides.	3052	170	2	58	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	prediction	Bib Fortuna informs Jabba the Hutt about the arrival of the droids and presents them to him. Jabba demands to see the message they carry and is shown a hologram of Luke Skywalker.	3052	170	3	58	The Death Star, a massive battle station, floats above the green moon Endor, while an Imperial shuttle approaches with Darth Vader on board. Vader threatens Commander Jerjerrod to double his efforts to complete the final destruction of the Rebel fleet, while a shrouded figure on Tatooine works on a strange device with the help of the droid Artoo-Detoo.
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	summary	Luke Skywalker presents himself as a giant hologram to Jabba the Hutt, offering a bargain for Han Solo's life, but Jabba refuses and keeps Han frozen in carbonite. Threepio and Artoo are taken to a dungeon, where they encounter a sadistic robot named EV-9D9.	4060	237	3	88	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	prediction	Threepio is taken to the main audience chamber and Artoo is assigned to work on Jabba's Sail Barge, while Oola, a chained dancer, is thrown into a pit.	4060	237	4	88	The Death Star, a massive battle station, floats above the green moon Endor, while an Imperial shuttle approaches with Darth Vader on board. Vader threatens Commander Jerjerrod to double his efforts to complete the final destruction of the Rebel fleet, while a shrouded figure on Tatooine works on a strange device with the help of the droid Artoo-Detoo. The two droids, Threepio and Artoo, enter a dark and ominous passageway, encountering Gamorrean guards and Bib Fortuna, who leads them to the throne room where Jabba the Hutt resides.
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	summary	The nubile dancer is thrown into a pit by Jabba the Hutt, causing fear and excitement among the crowd. Threepio and Han Solo's carbonite form observe the chaos.	5067	303	4	132	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	prediction	Boushh negotiates with Jabba using a thermal detonator, securing Chewbacca's release. Chewbacca is led away by the Gamorrean guards, while Lando Calrissian escorts him out of the room.	5067	303	5	132	The Death Star, a massive battle station, floats above the green moon Endor, while an Imperial shuttle approaches with Darth Vader on board. Vader threatens Commander Jerjerrod to double his efforts to complete the final destruction of the Rebel fleet, while a shrouded figure on Tatooine works on a strange device with the help of the droid Artoo-Detoo. The two droids, Threepio and Artoo, enter a dark and ominous passageway, encountering Gamorrean guards and Bib Fortuna, who leads them to the throne room where Jabba the Hutt resides. Luke Skywalker presents himself as a giant hologram to Jabba the Hutt, offering a bargain for Han Solo's life, but Jabba refuses and keeps Han frozen in carbonite. Threepio and Artoo are taken to a dungeon, where they encounter a sadistic robot named EV-9D9.
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	summary	Lando, disguised as Boushh the bounty hunter, successfully rescues Han Solo from his carbonite prison in Jabba the Hutt's throne room.	6075	360	5	160	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	prediction	Lando helps Han regain his senses and explains the situation to him, including Leia's role in the rescue plan. They devise a plan to escape Jabba's palace and reunite with the Rebel fleet.	6075	360	6	160	The Death Star, a massive battle station, floats above the green moon Endor, while an Imperial shuttle approaches with Darth Vader on board. Vader threatens Commander Jerjerrod to double his efforts to complete the final destruction of the Rebel fleet, while a shrouded figure on Tatooine works on a strange device with the help of the droid Artoo-Detoo. The two droids, Threepio and Artoo, enter a dark and ominous passageway, encountering Gamorrean guards and Bib Fortuna, who leads them to the throne room where Jabba the Hutt resides. Luke Skywalker presents himself as a giant hologram to Jabba the Hutt, offering a bargain for Han Solo's life, but Jabba refuses and keeps Han frozen in carbonite. Threepio and Artoo are taken to a dungeon, where they encounter a sadistic robot named EV-9D9. The nubile dancer is thrown into a pit by Jabba the Hutt, causing fear and excitement among the crowd. Threepio and Han Solo's carbonite form observe the chaos.
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	summary	Han Solo, now free from carbonite but suffering from hibernation sickness, encounters Princess Leia disguised as the bounty hunter Boushh in Jabba's palace. Leia reveals her true identity to Han and they embrace, but their moment is interrupted when a group of Jabba's miscreants discovers them.	7081	431	6	181	
00022085.txt	Revenge of the Jedi	James Kahn	Turbo-0.5	prediction	Han and Leia are captured by Jabba and brought before him. Jabba refuses Han's attempts to negotiate and orders his guards to take him away, leaving Leia behind. Lando attempts to lead Leia away, but Jabba stops them and pulls Leia close to him. Han is thrown into a dungeon cell.	7081	431	7	181	The Death Star, a massive battle station, floats above the green moon Endor, while an Imperial shuttle approaches with Darth Vader on board. Vader threatens Commander Jerjerrod to double his efforts to complete the final destruction of the Rebel fleet, while a shrouded figure on Tatooine works on a strange device with the help of the droid Artoo-Detoo. The two droids, Threepio and Artoo, enter a dark and ominous passageway, encountering Gamorrean guards and Bib Fortuna, who leads them to the throne room where Jabba the Hutt resides. Luke Skywalker presents himself as a giant hologram to Jabba the Hutt, offering a bargain for Han Solo's life, but Jabba refuses and keeps Han frozen in carbonite. Threepio and Artoo are taken to a dungeon, where they encounter a sadistic robot named EV-9D9. The nubile dancer is thrown into a pit by Jabba the Hutt, causing fear and excitement among the crowd. Threepio and Han Solo's carbonite form observe the chaos. Lando, disguised as Boushh the bounty hunter, successfully rescues Han Solo from his carbonite prison in Jabba the Hutt's throne room.
