filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	summary	The old man, Bryan O'Connell, is tired and sitting in a public telephone booth, struggling to catch his breath and make a phone call.	1027	39	0	0	
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	prediction	Bryan O'Connell leaves the telephone booth and walks through Manhattan, reminiscing about the changes in the city, before focusing on a task ahead of him with a renewed sense of concentration.	1027	39	1	0	
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	summary	Bryan O'Connell is on his way to meet Breckenridge Barnum to wrap up a case, but is almost hit by a car. A woman behind him saves his life, but he remains unaware of it.	2050	91	1	24	
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	prediction	Bryan O'Connell continues on his way to meet Breckenridge Barnum, unaware of the woman's heroic act. He has a conversation with Barnum and finally retires, looking forward to a peaceful life.	2050	91	2	24	The old man, Bryan O'Connell, is tired and sitting in a public telephone booth, struggling to catch his breath and make a phone call.
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	summary	Breckenridge Barnum and Dorothy are having a conversation about Breck's unfinished book, which has been abandoned for two years.	3059	144	2	59	
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	prediction	Dorothy's persistence and motivation to further Breck's interests will eventually convince him to revisit and complete the biography.	3059	144	3	59	The old man, Bryan O'Connell, is tired and sitting in a public telephone booth, struggling to catch his breath and make a phone call. Bryan O'Connell is on his way to meet Breckenridge Barnum to wrap up a case, but is almost hit by a car. A woman behind him saves his life, but he remains unaware of it.
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	summary	Dorothy convinces Breckenridge to let her read his unfinished book and they make plans to meet at his apartment for breakfast.	4066	203	3	78	
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	prediction	Dorothy arrives at Breckenridge's apartment the next morning and they begin going over the book together. As they discuss the content, they start to argue about the direction of the story.	4066	203	4	78	The old man, Bryan O'Connell, is tired and sitting in a public telephone booth, struggling to catch his breath and make a phone call. Bryan O'Connell is on his way to meet Breckenridge Barnum to wrap up a case, but is almost hit by a car. A woman behind him saves his life, but he remains unaware of it. Breckenridge Barnum and Dorothy are having a conversation about Breck's unfinished book, which has been abandoned for two years.
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	summary	Breckenridge Barnum and Dorothy have a heated argument, but eventually make up and Dorothy leaves to go home.	5085	254	4	99	
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	prediction	Breckenridge Barnum reflects on his life and career, potentially leading to a realization about his current situation.	5085	254	5	99	The old man, Bryan O'Connell, is tired and sitting in a public telephone booth, struggling to catch his breath and make a phone call. Bryan O'Connell is on his way to meet Breckenridge Barnum to wrap up a case, but is almost hit by a car. A woman behind him saves his life, but he remains unaware of it. Breckenridge Barnum and Dorothy are having a conversation about Breck's unfinished book, which has been abandoned for two years. Dorothy convinces Breckenridge to let her read his unfinished book and they make plans to meet at his apartment for breakfast.
00010785.txt	Message from a Corpse	Sam Merwin	Turbo-0	summary	Breck Barnum receives a phone call from T. Colman Flanders, who wants to buy his unfinished book about the governor. Meanwhile, the switchboard operator becomes ill and points towards the foyer, where Breck finds Bryan O'Connell dead with a knife in his chest.	6125	325	5	117	
