filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	summarylen
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace.	1015	56	0	0
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves the bar and walks through the Ninsei crowds, feeling the weight of his past as a cowboy and the consequences of his betrayal. He contemplates his uncertain future and the challenges he will face as he tries to survive in the Sprawl.	1015	56	1	0
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City.	2020	95	1	38
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case reflects on his impending self-destruction and his conflicted feelings about Linda Lee.	2020	95	2	38
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage.	3021	153	2	85
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Linda's warning about Wage's intentions prompts Case to become more cautious and vigilant. He decides to investigate further and gather information about Wage and his associates to protect himself.	3021	153	3	85
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office.	4028	208	3	109
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves Julius Deane's office and senses someone following him. He tries to maintain his composure and find a way to confront or evade his pursuer.	4028	208	4	109
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed.	5031	270	4	133
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case confronts his tail and engages in a confrontation or escape attempt.	5031	270	5	133
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, injured but armed with a cobra. He then limps away, nursing his ankle, and acquires a pistol from Shin.	6046	335	5	195
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case heads towards Cheap Hotel, a ten-story office building, where he has rented a coffin but never slept. He enters the building through an alley and uses his key to access the plastic cage elevator.	6046	335	6	195
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case enters a cheap lodging compound, opens his coffin with a key, finds a computer and a cooler inside, and makes a phone call to sell some RAM chips. He then heads to the Chat bar where he meets Ratz and is confronted by Wage and his joeboys.	7051	402	6	231
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Wage and his joeboys confront Case at the Chat bar, but Ratz intervenes and threatens them with a nonlethal weapon. Case thanks Ratz and prepares for a confrontation with Wage.	7051	402	7	231
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case confronts Wage at the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case offers to sell pituitaries to make amends. Case decides to go see Shin and retrieve his deposit, while Ratz urges him to go home.	8067	467	7	279
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case goes to see Shin to get his deposit back, but instead finds Molly waiting for him in his coffin. Molly reveals that she is collecting Case for the man she works for and assures him that nobody wants to hurt him, although she admits that she sometimes hurts people.	8067	467	8	279
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly meet Armitage in a hotel room, where Armitage reveals that he was involved in the creation of Case's kind and offers to fix his neural damage. Case initially doubts Armitage's offer but eventually agrees to his terms.	9072	530	8	333
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Armitage takes Case and Molly to an expensive clinic where nerve boys fix Case's neural damage using a program provided by Armitage, giving them an advantage over the competition.	9072	530	9	333
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case and Molly discuss their mysterious employer and the uncertainty surrounding their work. Case undergoes a painful medical procedure and wakes up in a hotel room with Molly, who offers him a massage.	10081	596	9	373
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly leave the Cheap Hotel and travel to Amsterdam and Paris, reuniting with Armitage at the Hilton to prepare for their next mission in the Sprawl.	10081	596	10	373
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case and Molly engage in a sexual encounter, after which they discuss their plans and Molly warns Case about the consequences of leaving Chiba City.	11086	664	10	409
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly discuss their employer and the risks of their work, then make a plan to meet with Armitage and gather more information.	11086	664	11	409
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly go to Sammi's, an arena where two men fight with knives, but Case becomes increasingly anxious and feels that the operation to fix his neural damage hasn't worked.	12088	733	11	437
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case chases after Linda Lee, but is tripped by a boy with spiked blond hair. Molly saves Case by using her fletchettes.	12088	733	12	437
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case finds the boy dead and discovers that Linda has been killed by someone connected to Wage. Molly reveals the details of Linda's death and they leave Chiba City with Armitage.	13097	801	12	468
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case, Molly, and Armitage travel to their destination and meet with their employer. They start their next mission, infiltrating a high-security facility.	13097	801	13	468
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In the passage, Case and Molly discuss their mysterious employer and the uncertainty surrounding their work. Case learns that he has toxin sacs bonded to his arteries and needs to complete the job for Armitage in order to receive the antidote.	14098	869	13	502
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case and Molly meet Armitage, who offers to fix Case's neural damage, and they agree to his terms. They leave Chiba City with Armitage.	14098	869	14	502
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly enter a hidden room filled with junk and meet Finn, a man with small ears and yellow teeth. Finn scans Molly and Case for implants, and they discuss their work for Armitage.	15100	937	14	543
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Finn reveals they need to retrieve the Flatline's construct from Sense/Net, locked in a library vault, and plan a hardcore run to steal it, prioritizing the Flatline's construct over anything else.	15100	937	15	543
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case and Molly discuss Armitage and their uncertain situation, and Case enters cyberspace, experiencing a hallucinatory journey. Molly leaves, and Case falls asleep in the dark loft, only to be interrupted by the arrival of the Finn, who brings him a booby-trapped prototype and discusses their hardware work for Armitage.	16123	1003	15	578
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	The Finn explains the purpose of the booby-trapped prototype and helps Case modify his Ono-Sendai. They continue their work for Armitage, delving deeper into the world of simstim and encountering new challenges and dangers.	16123	1003	16	578
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case sits in the loft with dermatrodes strapped to his forehead, preparing to enter simstim and experience the world through Molly's sensorium.	17134	1067	16	628
