filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	summary	Zoya, a young girl, is traveling in a troika with Feodor to visit her cousin Marie in the village just outside Tsarskoe Selo.	1010	47	0	0	
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	prediction	Zoya arrives at the Alexander Palace and has tea with her friend Marie.	1010	47	1	0	
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	summary	Zoya arrives at her cousin Marie's bedroom, where they discuss the illness that has affected their family and the boredom they are experiencing due to the quarantine.	2012	94	1	23	
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	prediction	Zoya and Marie find ways to entertain themselves and alleviate their boredom while their family members are sick with the measles.	2012	94	2	23	Zoya, a young girl, is traveling in a troika with Feodor to visit her cousin Marie in the village just outside Tsarskoe Selo.
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	summary	Zoya and her cousin Marie discuss their family's illness and boredom, reminisce about their luxurious lives, and exchange gifts of perfume and affection.	3025	146	2	50	
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	prediction	Zoya and Marie continue to find solace in their innocent pleasures, but as the war and illness loom closer, their lives will be disrupted and they will confront the harsh realities of their world.	3025	146	3	50	Zoya, a young girl, is traveling in a troika with Feodor to visit her cousin Marie in the village just outside Tsarskoe Selo. Zoya arrives at her cousin Marie's bedroom, where they discuss the illness that has affected their family and the boredom they are experiencing due to the quarantine.
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	summary	Zoya and her cousin Marie discuss their dreams of running away to the ballet and getting married, and they share a moment of friendship and affection before being interrupted by the entrance of the Empress Alexandra.	4036	198	3	73	
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	prediction	The Empress Alexandra inquires about Zoya's visit and Zoya confesses to sneaking out, causing the Empress to scold her and warn her about the dangers of infection. Zoya feels guilty but relieved that the Empress finds it amusing, and they continue their conversation about the illness and the well-being of their family and friends.	4036	198	4	73	Zoya, a young girl, is traveling in a troika with Feodor to visit her cousin Marie in the village just outside Tsarskoe Selo. Zoya arrives at her cousin Marie's bedroom, where they discuss the illness that has affected their family and the boredom they are experiencing due to the quarantine. Zoya and her cousin Marie discuss their family's illness and boredom, reminisce about their luxurious lives, and exchange gifts of perfume and affection.
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	summary	Zoya receives a puppy named Sava as a gift from her cousin Marie and the Empress Alexandra, and they discuss Zoya's family and her mother's dislike of dogs.	5043	247	4	109	
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	prediction	Zoya takes the puppy home and tries to hide it from her mother, but eventually her mother finds out and becomes angry. Zoya must convince her mother to let her keep the puppy.	5043	247	5	109	Zoya, a young girl, is traveling in a troika with Feodor to visit her cousin Marie in the village just outside Tsarskoe Selo. Zoya arrives at her cousin Marie's bedroom, where they discuss the illness that has affected their family and the boredom they are experiencing due to the quarantine. Zoya and her cousin Marie discuss their family's illness and boredom, reminisce about their luxurious lives, and exchange gifts of perfume and affection. Zoya and her cousin Marie discuss their dreams of running away to the ballet and getting married, and they share a moment of friendship and affection before being interrupted by the entrance of the Empress Alexandra.
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	summary	Zoya rushes home with her new puppy, Sava, and tries to come up with excuses to explain her lateness and the presence of the puppy to her mother.	6050	295	5	137	
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	prediction	Zoya's brother distracts their mother while Zoya quickly changes her clothes. Zoya then enters the dining room, hoping to avoid her mother's anger and successfully introduce Sava to the family.	6050	295	6	137	Zoya, a young girl, is traveling in a troika with Feodor to visit her cousin Marie in the village just outside Tsarskoe Selo. Zoya arrives at her cousin Marie's bedroom, where they discuss the illness that has affected their family and the boredom they are experiencing due to the quarantine. Zoya and her cousin Marie discuss their family's illness and boredom, reminisce about their luxurious lives, and exchange gifts of perfume and affection. Zoya and her cousin Marie discuss their dreams of running away to the ballet and getting married, and they share a moment of friendship and affection before being interrupted by the entrance of the Empress Alexandra. Zoya receives a puppy named Sava as a gift from her cousin Marie and the Empress Alexandra, and they discuss Zoya's family and her mother's dislike of dogs.
00022982.txt	Zoya	Danielle Steele	Turbo-0.5	summary	Zoya arrives home late and tries to explain her absence and the presence of her new puppy to her displeased mother.	7084	348	6	165	
