filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	summary	Al Lipke reads a newspaper advertisement for a job that requires 1,200 men to work for 30 minutes and pays $10 each, and then he sees another advertisement for a performer who can do a unique feat and will be paid up to $1,000. He receives a phone call from the hotel clerk informing him that the men he is expecting to see are waiting downstairs.	1006	47	0	0	
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	prediction	Al Lipke interviews Charles Carino, who demonstrates his juggling skills with increasing numbers of balls. Lipke is impressed and intrigued by Carino's talent and decides to hire him for the job.	1006	47	1	0	
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	summary	Charles Carino impresses Al Lipke with his juggling skills, claiming to be the only juggler who can handle nine balls, and Lipke considers hiring him for a performance in Chicago. Then, Lipke meets Mrs. Kelsey and her son Floto, who is a prodigious reader and has an exceptional memory.	2012	106	1	66	
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	prediction	Floto's exceptional memory and knowledge impress Lipke, who offers Mrs. Kelsey the opportunity for Floto to perform on the vaudeville circuit.	2012	106	2	66	Al Lipke reads a newspaper advertisement for a job that requires 1,200 men to work for 30 minutes and pays $10 each, and then he sees another advertisement for a performer who can do a unique feat and will be paid up to $1,000. He receives a phone call from the hotel clerk informing him that the men he is expecting to see are waiting downstairs.
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	summary	Lipke meets with Mrs. Kelsey and her son Floto, but decides that Floto's exceptional memory is not suitable for his plans. Professor Kanning, a rapid calculator, demonstrates his abilities to Lipke, but Lipke concludes that it is not useful for his theatrical purposes.	3028	161	2	115	
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	prediction	Lipke calls for four more visitors to discuss his proposition for a new and extraordinary act in vaudeville. The visitors include a sword swallower named Gonzalez, who demonstrates his skill by swallowing a sword.	3028	161	3	115	Al Lipke reads a newspaper advertisement for a job that requires 1,200 men to work for 30 minutes and pays $10 each, and then he sees another advertisement for a performer who can do a unique feat and will be paid up to $1,000. He receives a phone call from the hotel clerk informing him that the men he is expecting to see are waiting downstairs. Charles Carino impresses Al Lipke with his juggling skills, claiming to be the only juggler who can handle nine balls, and Lipke considers hiring him for a performance in Chicago. Then, Lipke meets Mrs. Kelsey and her son Floto, who is a prodigious reader and has an exceptional memory.
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	summary	Lipke interviews several performers for a job, including a strongman, a handcuff king, and a daredevil cyclist, ultimately selecting the cyclist for a secret performance in Chicago.	4040	220	3	158	
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	prediction	Lipke and Chevalo finalize the details of the performance, including the price and the secrecy surrounding it. Chevalo guarantees his act and provides Lipke with a photograph of the stunt.	4040	220	4	158	Al Lipke reads a newspaper advertisement for a job that requires 1,200 men to work for 30 minutes and pays $10 each, and then he sees another advertisement for a performer who can do a unique feat and will be paid up to $1,000. He receives a phone call from the hotel clerk informing him that the men he is expecting to see are waiting downstairs. Charles Carino impresses Al Lipke with his juggling skills, claiming to be the only juggler who can handle nine balls, and Lipke considers hiring him for a performance in Chicago. Then, Lipke meets Mrs. Kelsey and her son Floto, who is a prodigious reader and has an exceptional memory. Lipke meets with Mrs. Kelsey and her son Floto, but decides that Floto's exceptional memory is not suitable for his plans. Professor Kanning, a rapid calculator, demonstrates his abilities to Lipke, but Lipke concludes that it is not useful for his theatrical purposes.
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	summary	Al Lipke reflects on the team of Lipke and Crosby and their involvement in a potential case involving Archibald Chalmers. The narrative then shifts to David Crosby, a young attorney in Brossville, Kansas, who is preparing for the trial of Lindell Trent for grand larceny.	5053	259	4	185	
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	prediction	David Crosby advises Lindell Trent to plead guilty, but she refuses, leading to tension between them as the trial is about to begin.	5053	259	5	185	Al Lipke reads a newspaper advertisement for a job that requires 1,200 men to work for 30 minutes and pays $10 each, and then he sees another advertisement for a performer who can do a unique feat and will be paid up to $1,000. He receives a phone call from the hotel clerk informing him that the men he is expecting to see are waiting downstairs. Charles Carino impresses Al Lipke with his juggling skills, claiming to be the only juggler who can handle nine balls, and Lipke considers hiring him for a performance in Chicago. Then, Lipke meets Mrs. Kelsey and her son Floto, who is a prodigious reader and has an exceptional memory. Lipke meets with Mrs. Kelsey and her son Floto, but decides that Floto's exceptional memory is not suitable for his plans. Professor Kanning, a rapid calculator, demonstrates his abilities to Lipke, but Lipke concludes that it is not useful for his theatrical purposes. Lipke interviews several performers for a job, including a strongman, a handcuff king, and a daredevil cyclist, ultimately selecting the cyclist for a secret performance in Chicago.
00010334.txt	The Amazing Web	Harry Stephen Keeler	Turbo-0	summary	Lindell Trent is on trial for stealing a diamond ring from Zelina Miles, who testifies against her in court.	6082	300	5	230	
